Age,Income,LoanAmount,CreditScore,YearsExperience,Gender,Education,City,EmploymentType,LoanApproved,RiskCategory,LoanDecision
58,58022.0,8053,576.0,8,Male,High School,Chicago,Self-Employed,0,High Risk,Reject
46,34445.0,23184,632.0,14,Male,PhD,New York,Self-Employed,0,Low Risk,Approve
32,61157.0,33222,782.0,36,Female,Bachelors,Chicago,Unemployed,0,Low Risk,Approve
18,76170.0,25201,413.0,18,Male,Bachelors,Houston,Unemployed,0,High Risk,Reject
42,45785.0,13035,337.0,10,Female,PhD,Chicago,Self-Employed,0,High Risk,Reject
24,56374.0,19385,753.0,8,Male,High School,San Francisco,Self-Employed,1,Low Risk,Approve
26,38305.0,7749,465.0,34,Male,PhD,Houston,Self-Employed,0,High Risk,Reject
41,45682.0,26305,504.0,26,Female,Bachelors,New York,Salaried,0,High Risk,Reject
18,51586.0,21279,544.0,12,Female,Bachelors,Chicago,Salaried,0,High Risk,Reject
61,27092.0,10246,632.0,11,Male,Masters,Houston,Self-Employed,0,Low Risk,Reject
28,47809.0,27391,420.0,12,Male,Masters,San Francisco,Unemployed,0,High Risk,Reject
68,41106.0,31836,558.0,19,Female,Bachelors,Chicago,Salaried,0,High Risk,Reject
34,38945.0,18927,709.0,12,Female,PhD,Chicago,Unemployed,0,Low Risk,Approve
25,39523.0,9083,609.0,26,Male,Masters,Chicago,Unemployed,0,Low Risk,Approve
52,51688.0,21908,367.0,25,Male,PhD,New York,Unemployed,0,High Risk,Reject
52,56676.0,34279,413.0,28,Female,Masters,Chicago,Unemployed,0,High Risk,Reject
50,18618.0,7018,519.0,28,Female,High School,New York,Salaried,0,High Risk,Reject
22,71193.0,12363,519.0,21,Male,Masters,Chicago,Salaried,0,High Risk,Reject
56,15040.0,21229,685.0,23,Female,Masters,San Francisco,Unemployed,0,Low Risk,Reject
58,66289.0,15640,597.0,18,Male,High School,Houston,Salaried,0,High Risk,Reject
45,65828.0,21761,552.0,37,Male,PhD,Chicago,Self-Employed,0,High Risk,Reject
24,50007.0,27820,704.0,30,Female,PhD,San Francisco,Unemployed,0,Low Risk,Approve
26,30542.0,19213,791.0,38,Female,PhD,San Francisco,Self-Employed,0,Low Risk,Approve
25,65228.0,18512,656.0,14,Male,Bachelors,Chicago,Unemployed,0,Low Risk,Approve
29,46382.0,24712,727.0,31,Male,PhD,Houston,Salaried,1,Low Risk,Approve
51,58233.0,17836,514.0,28,Female,Bachelors,New York,Unemployed,0,High Risk,Reject
50,83288.0,29140,679.0,33,Male,High School,San Francisco,Self-Employed,1,Low Risk,Approve
65,53778.0,36214,513.0,8,Female,PhD,San Francisco,Salaried,0,High Risk,Reject
41,44964.0,10000,827.0,5,Male,PhD,San Francisco,Unemployed,0,Low Risk,Approve
54,38158.0,22974,827.0,36,Male,High School,New York,Salaried,0,Low Risk,Approve
52,56502.0,9716,834.0,13,Female,Bachelors,New York,Unemployed,0,Low Risk,Approve
61,37909.0,9579,848.0,8,Female,Masters,Houston,Salaried,0,Low Risk,Approve
39,30734.0,16942,464.0,22,Male,High School,New York,Salaried,0,High Risk,Reject
44,48019.0,19736,415.0,27,Female,High School,New York,Unemployed,0,High Risk,Reject
52,52651.0,15861,449.0,15,Female,Bachelors,New York,Salaried,0,High Risk,Reject
18,9728.0,31123,817.0,25,Male,Bachelors,San Francisco,Salaried,0,Low Risk,Reject
52,53894.0,30527,331.0,37,Female,Bachelors,New York,Unemployed,0,High Risk,Reject
54,49314.0,35431,592.0,39,Female,Bachelors,San Francisco,Salaried,0,High Risk,Reject
64,38525.0,20372,476.0,24,Male,Bachelors,Chicago,Unemployed,0,High Risk,Reject
31,80429.0,29471,360.0,34,Male,PhD,Chicago,Unemployed,0,High Risk,Reject
20,64377.0,22471,715.0,4,Female,Masters,New York,Unemployed,0,Low Risk,Approve
22,62574.0,16261,306.0,22,Male,Bachelors,Houston,Unemployed,0,High Risk,Reject
43,68667.0,1895,384.0,24,Female,Bachelors,San Francisco,Salaried,0,High Risk,Reject
31,51980.0,25098,697.0,0,Male,PhD,San Francisco,Self-Employed,1,Low Risk,Approve
56,55422.0,29233,692.0,21,Male,Bachelors,Chicago,Self-Employed,1,Low Risk,Approve
26,18713.0,19922,640.0,27,Male,PhD,Houston,Unemployed,0,Low Risk,Reject
32,46416.0,17124,777.0,32,Male,High School,New York,Unemployed,0,Low Risk,Approve
43,71452.0,29545,725.0,3,Male,Bachelors,San Francisco,Salaried,1,Low Risk,Approve
59,55006.0,18878,725.0,10,Male,PhD,New York,Self-Employed,1,Low Risk,Approve
30,45536.0,15799,814.0,38,Female,Bachelors,San Francisco,Self-Employed,1,Low Risk,Approve
68,48648.0,30002,428.0,31,Male,High School,Houston,Self-Employed,0,High Risk,Reject
49,65351.0,12530,548.0,3,Male,High School,San Francisco,Unemployed,0,High Risk,Reject
56,47231.0,14201,430.0,0,Male,High School,Houston,Unemployed,0,High Risk,Reject
66,39527.0,12836,622.0,25,Female,High School,Houston,Salaried,0,Low Risk,Approve
69,45864.0,10859,842.0,32,Male,High School,New York,Salaried,1,Low Risk,Approve
49,64110.0,21224,365.0,16,Male,Bachelors,San Francisco,Self-Employed,0,High Risk,Reject
21,57442.0,15897,400.0,26,Male,Bachelors,New York,Unemployed,0,High Risk,Reject
47,50664.0,23909,330.0,4,Male,High School,Houston,Unemployed,0,High Risk,Reject
54,52873.0,6123,490.0,6,Female,Bachelors,Houston,Salaried,0,High Risk,Reject
40,41604.0,11020,714.0,24,Female,High School,Houston,Salaried,1,Low Risk,Approve
56,47091.0,20413,799.0,7,Male,High School,Houston,Unemployed,0,Low Risk,Approve
32,45578.0,23028,388.0,3,Female,Bachelors,Houston,Salaried,0,High Risk,Reject
60,70193.0,15285,674.0,11,Female,Bachelors,San Francisco,Unemployed,0,Low Risk,Approve
46,33832.0,8084,545.0,30,Male,PhD,Houston,Unemployed,0,High Risk,Reject
53,39669.0,14817,556.0,10,Male,Bachelors,Chicago,Self-Employed,0,High Risk,Reject
30,31186.0,19660,651.0,36,Male,Bachelors,San Francisco,Unemployed,0,Low Risk,Approve
24,47198.0,10293,636.0,21,Male,High School,Chicago,Unemployed,0,Low Risk,Approve
68,40736.0,14100,825.0,0,Male,High School,San Francisco,Salaried,1,Low Risk,Approve
39,76425.0,17941,600.0,3,Female,Bachelors,Chicago,Self-Employed,0,Low Risk,Approve
45,45757.0,19565,376.0,35,Female,Bachelors,Houston,Salaried,0,High Risk,Reject
19,69341.0,15113,810.0,7,Female,PhD,New York,Self-Employed,1,Low Risk,Approve
59,64520.0,24047,529.0,24,Female,Masters,New York,Self-Employed,0,High Risk,Reject
62,46866.0,20998,331.0,27,Female,High School,New York,Unemployed,0,High Risk,Reject
23,81652.0,17039,357.0,37,Male,High School,San Francisco,Self-Employed,0,High Risk,Reject
45,54028.0,25150,403.0,35,Male,Bachelors,San Francisco,Self-Employed,0,High Risk,Reject
45,72695.0,24496,611.0,35,Female,Bachelors,San Francisco,Unemployed,0,Low Risk,Approve
61,70949.0,8370,366.0,3,Male,Masters,New York,Unemployed,0,High Risk,Reject
61,56220.0,19744,673.0,12,Male,High School,New York,Self-Employed,1,Low Risk,Approve
37,61267.0,27122,534.0,37,Male,Masters,San Francisco,Salaried,0,High Risk,Reject
47,59361.0,28460,411.0,24,Male,High School,New York,Self-Employed,0,High Risk,Reject
28,32836.0,22967,688.0,2,Male,Bachelors,Chicago,Salaried,0,Low Risk,Approve
45,50859.0,18134,707.0,31,Female,Masters,Chicago,Salaried,1,Low Risk,Approve
56,72893.0,26462,538.0,0,Female,Bachelors,San Francisco,Salaried,0,High Risk,Reject
50,39190.0,20927,594.0,10,Male,PhD,Houston,Self-Employed,0,High Risk,Reject
69,48232.0,9306,775.0,21,Male,High School,Houston,Self-Employed,1,Low Risk,Approve
30,55340.0,18605,603.0,12,Female,PhD,San Francisco,Unemployed,0,Low Risk,Approve
20,58121.0,14609,589.0,30,Female,Masters,Chicago,Self-Employed,0,High Risk,Reject
56,71626.0,31471,507.0,34,Female,Bachelors,San Francisco,Self-Employed,0,High Risk,Reject
23,61762.0,27612,669.0,37,Female,High School,Houston,Unemployed,0,Low Risk,Approve
25,54659.0,6452,519.0,34,Female,High School,New York,Unemployed,0,High Risk,Reject
44,77969.0,11321,530.0,12,Male,Masters,Chicago,Salaried,0,High Risk,Reject
26,66649.0,17092,648.0,6,Male,Masters,Houston,Salaried,1,Low Risk,Approve
54,48614.0,14875,554.0,4,Female,Bachelors,Houston,Salaried,0,High Risk,Reject
50,31743.0,22539,751.0,28,Male,Masters,Chicago,Unemployed,0,Low Risk,Approve
68,35183.0,10051,441.0,7,Male,High School,Chicago,Self-Employed,0,High Risk,Reject
59,63998.0,27668,368.0,7,Male,Bachelors,New York,Salaried,0,High Risk,Reject
61,40545.0,19648,388.0,6,Female,Bachelors,San Francisco,Self-Employed,0,High Risk,Reject
41,34879.0,17276,435.0,18,Female,Bachelors,Houston,Unemployed,0,High Risk,Reject
32,38629.0,19885,822.0,38,Female,PhD,New York,Salaried,0,Low Risk,Approve
49,39689.0,16660,741.0,22,Female,PhD,Chicago,Unemployed,0,Low Risk,Approve
49,62760.0,3755,337.0,35,Female,High School,San Francisco,Self-Employed,0,High Risk,Reject
41,47649.0,20095,507.0,31,Female,PhD,San Francisco,Salaried,0,High Risk,Reject
58,29414.0,17434,509.0,3,Female,Masters,Houston,Self-Employed,0,High Risk,Reject
69,50466.0,12364,812.0,29,Male,Bachelors,San Francisco,Self-Employed,1,Low Risk,Approve
66,53334.0,28779,659.0,38,Female,High School,Chicago,Salaried,1,Low Risk,Approve
66,42810.0,25356,300.0,4,Male,Masters,Chicago,Salaried,1,High Risk,Reject
69,67338.0,39511,680.0,2,Female,Bachelors,Chicago,Unemployed,0,Low Risk,Approve
29,43686.0,26679,836.0,21,Male,Masters,New York,Salaried,1,Low Risk,Approve
56,66625.0,14853,693.0,27,Male,PhD,Chicago,Salaried,0,Low Risk,Approve
19,58952.0,12754,349.0,21,Male,Masters,New York,Salaried,0,High Risk,Reject
20,63899.0,16046,695.0,21,Male,PhD,Chicago,Salaried,1,Low Risk,Approve
54,51475.0,20870,844.0,28,Female,High School,San Francisco,Unemployed,0,Low Risk,Approve
66,49208.0,7690,533.0,12,Female,PhD,Houston,Self-Employed,0,High Risk,Reject
34,28670.0,25178,325.0,6,Female,PhD,Chicago,Unemployed,0,High Risk,Reject
66,66576.0,20730,733.0,9,Female,Bachelors,San Francisco,Self-Employed,1,Low Risk,Approve
19,40856.0,10847,740.0,3,Female,Bachelors,Houston,Unemployed,0,Low Risk,Approve
45,34800.0,21974,429.0,31,Female,PhD,San Francisco,Self-Employed,0,High Risk,Reject
40,60518.0,30393,653.0,21,Female,PhD,San Francisco,Self-Employed,1,Low Risk,Approve
54,27111.0,13116,497.0,19,Female,PhD,Houston,Salaried,0,High Risk,Reject
50,65668.0,25696,446.0,5,Male,Bachelors,Houston,Self-Employed,0,High Risk,Reject
18,58058.0,12248,797.0,8,Male,High School,Houston,Unemployed,0,Low Risk,Approve
36,60689.0,18134,347.0,27,Male,Masters,Chicago,Self-Employed,0,High Risk,Reject
19,61393.0,31806,471.0,12,Male,PhD,Chicago,Unemployed,0,High Risk,Reject
61,35759.0,13011,614.0,30,Male,PhD,New York,Unemployed,0,Low Risk,Approve
43,71521.0,32356,675.0,38,Female,High School,Houston,Self-Employed,1,Low Risk,Approve
49,43099.0,17314,832.0,13,Female,Bachelors,Houston,Unemployed,0,Low Risk,Approve
23,49004.0,11030,719.0,21,Male,Masters,New York,Self-Employed,1,Low Risk,Approve
49,45010.0,24830,695.0,36,Female,High School,Chicago,Self-Employed,1,Low Risk,Approve
21,57373.0,20862,821.0,23,Male,High School,Houston,Salaried,1,Low Risk,Approve
28,41929.0,20105,486.0,7,Female,High School,New York,Self-Employed,0,High Risk,Reject
34,51004.0,13850,332.0,14,Female,High School,Chicago,Self-Employed,0,High Risk,Reject
55,31470.0,20804,368.0,5,Male,PhD,San Francisco,Salaried,0,High Risk,Reject
41,67470.0,3459,490.0,22,Male,Masters,New York,Salaried,0,High Risk,Reject
22,60061.0,21750,400.0,24,Male,PhD,New York,Unemployed,0,High Risk,Reject
69,45616.0,30378,784.0,30,Female,High School,Houston,Unemployed,0,Low Risk,Approve
51,42963.0,5877,584.0,28,Male,Masters,San Francisco,Salaried,0,High Risk,Reject
23,59669.0,16746,689.0,22,Female,High School,Chicago,Salaried,1,Low Risk,Approve
39,39391.0,13003,459.0,9,Female,Bachelors,San Francisco,Salaried,1,High Risk,Reject
28,51880.0,7912,346.0,8,Female,High School,Houston,Self-Employed,0,High Risk,Reject
65,67421.0,3577,458.0,12,Female,High School,Houston,Self-Employed,0,High Risk,Reject
33,37831.0,10553,745.0,31,Male,Bachelors,Chicago,Self-Employed,0,Low Risk,Approve
23,48540.0,7818,638.0,36,Male,High School,Houston,Unemployed,0,Low Risk,Approve
33,42443.0,22355,664.0,39,Female,High School,Chicago,Self-Employed,1,Low Risk,Approve
46,68222.0,21757,447.0,17,Male,Bachelors,Chicago,Self-Employed,0,High Risk,Reject
20,41036.0,33376,443.0,35,Male,Masters,Chicago,Salaried,0,High Risk,Reject
37,22819.0,24568,402.0,30,Male,Bachelors,New York,Salaried,0,High Risk,Reject
36,31980.0,25594,585.0,35,Female,PhD,Houston,Unemployed,0,High Risk,Reject
20,70024.0,15417,418.0,21,Female,Masters,Houston,Unemployed,0,High Risk,Reject
36,59446.0,28935,328.0,27,Female,High School,San Francisco,Unemployed,0,High Risk,Reject
37,66071.0,3594,810.0,25,Male,Bachelors,New York,Self-Employed,1,Low Risk,Approve
49,80301.0,14542,329.0,9,Female,High School,Chicago,Salaried,0,High Risk,Reject
24,64501.0,9354,665.0,2,Male,Bachelors,New York,Salaried,1,Low Risk,Approve
69,54959.0,21874,437.0,1,Male,Bachelors,Houston,Salaried,0,High Risk,Reject
58,74509.0,16627,774.0,36,Male,Masters,New York,Self-Employed,1,Low Risk,Approve
50,76322.0,25008,691.0,30,Male,Bachelors,San Francisco,Salaried,1,Low Risk,Approve
57,76532.0,19128,734.0,32,Female,Masters,Chicago,Unemployed,0,Low Risk,Approve
56,42618.0,7631,533.0,31,Female,PhD,Chicago,Self-Employed,0,High Risk,Reject
35,29690.0,8001,354.0,11,Male,Masters,San Francisco,Self-Employed,0,High Risk,Reject
57,41702.0,19952,591.0,2,Female,Masters,Houston,Salaried,0,High Risk,Reject
18,60555.0,13831,611.0,25,Female,Masters,New York,Unemployed,0,Low Risk,Approve
45,46903.0,27507,388.0,11,Male,Masters,Houston,Unemployed,0,High Risk,Reject
42,58407.0,26072,511.0,25,Female,Bachelors,Houston,Salaried,0,High Risk,Reject
67,27938.0,34382,617.0,15,Male,Bachelors,Chicago,Unemployed,0,Low Risk,Reject
40,52118.0,17469,764.0,7,Female,Masters,New York,Unemployed,0,Low Risk,Approve
48,66777.0,14871,386.0,27,Male,Bachelors,Chicago,Unemployed,0,High Risk,Reject
47,58240.0,23346,708.0,6,Male,Masters,Chicago,Self-Employed,1,Low Risk,Approve
59,60377.0,15514,539.0,14,Male,PhD,Chicago,Salaried,0,High Risk,Reject
52,73961.0,15776,356.0,35,Male,Bachelors,New York,Salaried,0,High Risk,Reject
24,49008.0,18383,412.0,7,Female,Masters,San Francisco,Salaried,0,High Risk,Reject
33,40204.0,33222,369.0,9,Female,High School,Chicago,Self-Employed,0,High Risk,Reject
65,67567.0,26471,575.0,17,Female,High School,Chicago,Self-Employed,0,High Risk,Reject
69,58374.0,32863,532.0,36,Male,Masters,New York,Self-Employed,0,High Risk,Reject
66,47594.0,27220,353.0,34,Male,Bachelors,New York,Unemployed,0,High Risk,Reject
19,50021.0,10949,556.0,1,Female,Masters,Houston,Salaried,0,High Risk,Reject
18,30848.0,27099,389.0,21,Female,Bachelors,Chicago,Self-Employed,0,High Risk,Reject
29,66165.0,25215,707.0,36,Female,Masters,New York,Unemployed,0,Low Risk,Approve
22,30325.0,18436,568.0,38,Female,Bachelors,New York,Salaried,0,High Risk,Reject
54,63014.0,24371,665.0,35,Male,Bachelors,Chicago,Unemployed,0,Low Risk,Approve
49,56062.0,19838,650.0,4,Female,Masters,San Francisco,Unemployed,0,Low Risk,Approve
26,34670.0,12175,598.0,14,Female,High School,Houston,Unemployed,0,High Risk,Reject
58,31910.0,14163,458.0,26,Male,PhD,Houston,Salaried,0,High Risk,Reject
52,55602.0,25630,786.0,15,Male,High School,Chicago,Salaried,1,Low Risk,Approve
36,44034.0,12753,825.0,35,Female,High School,Houston,Unemployed,0,Low Risk,Approve
65,77299.0,13508,654.0,37,Female,High School,Houston,Unemployed,0,Low Risk,Approve
33,64289.0,26027,700.0,17,Female,High School,Chicago,Salaried,1,Low Risk,Approve
20,57105.0,21070,704.0,34,Male,Bachelors,Houston,Salaried,1,Low Risk,Approve
41,69963.0,10168,691.0,21,Female,PhD,Chicago,Self-Employed,1,Low Risk,Approve
50,62698.0,24395,651.0,30,Male,Bachelors,New York,Salaried,1,Low Risk,Approve
41,57496.0,14720,587.0,36,Male,High School,Chicago,Unemployed,0,High Risk,Reject
69,35296.0,11865,822.0,33,Male,Bachelors,New York,Salaried,0,Low Risk,Approve
28,95929.0,15957,461.0,22,Male,High School,Houston,Unemployed,0,High Risk,Reject
66,33452.0,30897,481.0,15,Female,High School,San Francisco,Unemployed,0,High Risk,Reject
25,45312.0,17084,848.0,5,Male,PhD,New York,Unemployed,1,Low Risk,Approve
53,25179.0,37611,381.0,14,Male,Bachelors,New York,Salaried,0,High Risk,Reject
37,61479.0,30593,794.0,12,Male,High School,New York,Salaried,1,Low Risk,Approve
52,23914.0,32605,350.0,23,Female,High School,New York,Salaried,0,High Risk,Reject
65,66694.0,13092,560.0,12,Male,PhD,New York,Self-Employed,0,High Risk,Reject
42,37888.0,20551,433.0,0,Female,PhD,Chicago,Salaried,0,High Risk,Reject
52,47765.0,25698,661.0,35,Female,Bachelors,New York,Self-Employed,1,Low Risk,Approve
42,63974.0,18165,516.0,17,Female,PhD,New York,Unemployed,0,High Risk,Reject
46,53919.0,21199,367.0,32,Male,Bachelors,San Francisco,Unemployed,0,High Risk,Reject
63,61988.0,8148,645.0,5,Male,High School,Chicago,Unemployed,0,Low Risk,Approve
35,56432.0,17243,493.0,16,Male,Bachelors,Chicago,Self-Employed,0,High Risk,Reject
19,44883.0,20099,545.0,3,Female,PhD,Houston,Self-Employed,0,High Risk,Reject
33,53178.0,6156,683.0,29,Female,Bachelors,New York,Salaried,1,Low Risk,Approve
58,36567.0,26030,576.0,19,Male,High School,San Francisco,Unemployed,0,High Risk,Reject
53,64940.0,21036,371.0,7,Female,Bachelors,Houston,Unemployed,0,High Risk,Reject
50,54330.0,11557,428.0,1,Male,PhD,New York,Self-Employed,0,High Risk,Reject
21,51122.0,34393,657.0,36,Female,Bachelors,Houston,Unemployed,0,Low Risk,Approve
50,67887.0,17227,824.0,3,Male,High School,Chicago,Self-Employed,1,Low Risk,Approve
31,48198.0,17747,519.0,9,Male,Masters,New York,Self-Employed,0,High Risk,Reject
38,47264.0,25134,305.0,19,Female,Bachelors,New York,Unemployed,0,High Risk,Reject
65,42731.0,35072,527.0,34,Male,Masters,Chicago,Salaried,0,High Risk,Reject
25,54627.0,26609,311.0,27,Female,PhD,Chicago,Self-Employed,0,High Risk,Reject
24,40006.0,11987,798.0,14,Female,PhD,Chicago,Self-Employed,1,Low Risk,Approve
20,47335.0,20696,801.0,35,Female,Masters,Houston,Unemployed,0,Low Risk,Approve
34,40106.0,15742,369.0,0,Female,Bachelors,San Francisco,Unemployed,1,High Risk,Reject
50,39427.0,25633,407.0,21,Female,PhD,San Francisco,Self-Employed,0,High Risk,Reject
